,cluster
0,2
1,0
2,1
3,2
4,1
5,1
6,0
7,1
8,0
9,1
10,1
11,0
12,2
13,2
14,0
15,0
16,0
17,0
18,2
19,0
20,0
21,2
22,2
23,2
24,1
25,0
26,0
27,1
28,1
29,1
30,0
31,1
32,0
33,2
34,2
35,0
36,2
37,1
38,1
39,0
40,0
41,1
42,1
43,1
44,0
45,0
46,2
47,2
48,0
49,1
50,0
51,0
52,1
53,1
54,2
55,0
56,1
57,0
58,1
59,2
60,0
61,0
62,0
63,0
64,0
65,2
66,2
67,2
68,0
69,2
70,2
71,2
72,0
73,1
74,2
75,0
76,0
77,1
78,0
79,0
80,2
81,1
82,1
83,1
84,0
85,2
86,1
87,0
88,1
89,0
90,0
91,1
92,1
93,0
94,2
95,1
96,2
97,1
98,0
99,0
100,0
101,2
102,0
103,0
104,1
105,1
106,0
107,1
108,0
109,0
110,1
111,2
112,2
113,1
114,0
115,0
116,1
117,0
118,0
119,1
120,1
121,1
122,1
123,2
124,2
125,2
126,1
127,0
128,0
129,0
130,2
131,1
132,0
133,1
134,0
135,2
136,0
137,0
138,0
139,2
140,0
141,1
142,0
143,1
144,1
145,0
146,0
147,1
148,1
149,0
