,cluster
0,2
1,1
2,0
3,2
4,0
5,0
6,1
7,1
8,1
9,0
10,1
11,0
12,2
13,0
14,0
15,2
16,0
17,1
18,1
19,0
20,2
21,0
22,1
23,0
24,0
25,0
26,2
27,0
28,0
29,2
30,0
31,2
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,0
41,0
42,1
43,0
44,1
45,2
46,0
47,2
48,2
49,1
50,2
51,0
52,1
53,0
54,2
55,0
56,1
57,1
58,0
59,2
60,0
61,2
62,1
63,0
64,0
65,1
66,1
67,2
68,0
69,0
70,2
71,0
72,2
73,0
74,1
75,0
76,2
77,2
78,0
79,1
80,0
81,0
82,1
83,0
84,2
85,2
86,2
87,1
88,2
89,0
90,0
91,0
92,0
93,0
94,1
95,0
96,0
97,0
98,0
99,0
100,0
101,1
102,2
103,1
104,1
105,0
106,2
107,0
108,0
109,0
110,0
111,1
112,2
113,2
114,0
115,0
116,1
117,1
118,1
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,0
127,1
128,2
129,0
130,1
131,0
132,1
133,0
134,2
135,0
136,0
137,2
138,0
139,1
140,0
141,1
142,0
143,0
144,0
145,0
146,2
147,1
148,0
149,0
150,2
151,0
152,0
153,1
154,2
155,0
156,0
157,0
158,1
159,1
160,0
161,0
162,0
163,0
164,2
165,2
166,0
167,0
168,1
169,0
170,0
171,2
172,0
173,2
174,1
175,1
176,1
177,0
178,2
179,0
180,1
181,0
182,2
183,0
184,0
185,0
186,0
187,0
188,1
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,1
201,0
202,0
203,1
204,2
205,1
206,0
207,2
208,0
209,0
210,0
211,0
212,0
213,1
214,2
215,0
216,0
217,1
218,0
219,0
220,0
221,0
222,1
223,2
224,0
225,0
226,0
227,1
228,2
229,0
230,1
231,0
232,0
233,0
234,1
235,1
236,1
237,0
238,0
239,0
240,0
241,2
242,0
243,1
244,1
245,0
246,2
247,1
248,2
249,0
250,0
251,1
252,0
253,2
254,0
255,0
256,2
257,2
258,1
259,1
260,0
261,2
262,0
263,1
264,0
265,1
266,1
267,2
268,1
269,2
270,1
271,1
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,1
284,0
285,2
286,0
287,1
288,0
289,0
290,0
291,0
292,1
293,1
294,1
295,0
296,0
297,1
298,0
299,0
300,0
301,0
302,0
303,1
304,1
305,1
306,0
307,2
308,1
309,1
310,0
311,0
312,1
313,0
314,0
315,0
316,2
317,1
318,2
319,0
320,0
321,2
322,2
323,1
324,0
325,1
326,0
327,1
328,1
329,1
330,0
331,1
332,0
333,2
334,1
335,1
336,1
337,2
338,1
339,0
340,0
341,0
342,2
343,0
344,2
345,0
346,1
347,1
348,0
349,0
350,1
351,0
352,0
353,2
354,0
355,1
356,1
357,0
358,2
359,2
360,1
361,0
362,1
363,2
364,2
365,0
366,0
367,2
368,0
369,1
370,0
371,2
372,0
373,1
374,0
375,1
376,0
377,1
378,0
379,0
380,0
381,0
382,2
383,0
384,2
385,0
386,0
387,1
388,0
389,0
390,0
391,1
392,1
393,0
394,1
395,0
396,0
397,2
398,2
399,0
400,1
401,0
402,2
403,0
404,1
405,0
406,0
407,0
408,0
409,1
410,1
411,0
412,0
413,2
414,0
415,1
416,2
417,2
418,0
419,0
420,1
421,0
422,0
423,0
424,0
425,2
426,0
427,2
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,1
436,0
437,0
438,1
439,0
440,0
441,2
442,0
443,0
444,0
445,1
446,2
447,0
448,1
449,0
450,0
451,2
452,0
453,1
454,0
455,2
456,0
457,1
458,0
459,0
460,0
461,1
462,2
463,0
464,0
465,0
466,2
467,0
468,2
469,1
470,0
471,0
472,2
473,0
474,0
475,2
476,2
477,1
478,2
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,2
487,0
488,0
489,0
490,0
491,2
492,1
493,0
494,0
495,1
496,1
497,0
498,0
499,2
